Model,Live,Test,Train / Val,Remark
model_20200213-105456.h5,,5.448749999999999,4.082716049382718,self stock price LSTM - 20N
model_20200213-105743.h5,,5.018749999999999,4.4215167548500895,self stock price LSTM - 20N
model_20200213-110441.h5,,5.354999999999997,4.17231040564374,self stock price LSTM - 20N
model_20200213-110740.h5,,5.707500000000001,4.08941798941799,self stock price LSTM - 20N
model_20200213-111109.h5,,5.182500000000003,3.4389770723104043,self stock price LSTM - 20N
model_20200213-113314.h5,,4.633750000000001,3.165255731922397,self stock price LSTM - 20N
model_20200213-113858.h5,,4.842500000000001,3.615167548500881,self stock price LSTM - 20N
model_20200213-114031.h5,,5.7875,4.1880070546737205,self stock price LSTM - 20N
model_20200213-114226.h5,,7.022499999999997,4.476190476190473,self stock price LSTM - 20N
model_20200213-114629.h5,,5.473750000000001,4.20970017636684,self stock price LSTM - 20N
model_20200213-114928.h5,,4.981250000000001,3.607936507936506,self stock price LSTM - 20N
model_20200213-115114.h5,,5.09625,4.186596119929452,self stock price LSTM - 20N
model_20200213-115436.h5,,5.4625,3.7592592592592586,self stock price LSTM - 20N
model_20200213-115630.h5,,5.520000000000001,3.697354497354493,self stock price LSTM - 20N
model_20200213-115858.h5,,4.945,3.8462081128747796,self stock price LSTM - 20N
model_20200213-120039.h5,,4.975,3.8444444444444463,self stock price LSTM - 20N
model_20200213-120235.h5,,5.563749999999999,4.375485008818342,self stock price LSTM - 20N
model_20200213-120415.h5,,5.3762500000000015,4.161904761904763,self stock price LSTM - 20N
model_20200214-230129.h5,,5.021249999999998,3.804929577464785,self stock price LSTM - 20N
model_20200216-163803.h5,,4.820000000000001,3.88333333333333,self stock price LSTM - 20N
model_20200216-184743.h5,,5.1837500000000025,4.014912280701753,self stock price LSTM - 20N
model_20200216-184918.h5,,5.046249999999999,4.001754385964913,self stock price LSTM - 20N
model_20200216-185146.h5,,5.2825000000000015,4.179824561403513,self stock price LSTM - 20N
model_20200216-185419.h5,,5.125000000000001,3.8891228070175456,self stock price LSTM - 20N
model_20200216-185633.h5,,5.080000000000001,4.267368421052634,self stock price LSTM - 20N
model_20200216-185826.h5,,5.130000000000001,4.394035087719296,self stock price LSTM - 20N
model_20200216-190107.h5,,5.4387500000000015,3.902105263157893,self stock price LSTM - 20N
model_20200213-120802.h5,3.6,4.598749999999999,4.2316901408450684,self stock price LSTM - 20N
model_20200218-175241.h5,,4.95625,3.9625218914185667,self stock price LSTM - 20N
model_20200216-190301.h5,1.1250000000000002,4.85375,4.062456140350873,self stock price LSTM - 20N
model_20200220-223410.h5,,4.6937500000000005,4.167247386759582,self stock price LSTM - 20N
model_20200222-094618.h5,,2.02625,2.2420338983050843,self stock price LSTM - 20N
model_20200222-094823.h5,,2.042499999999999,2.2191044776119444,self stock price LSTM - 20N
model_20200222-094939.h5,,2.23375,2.219402985074626,self stock price LSTM - 20N
model_20200222-095005.h5,,2.7324999999999986,2.6488059701492563,self stock price LSTM - 20N
model_20200222-095032.h5,,1.88875,2.102238805970152,self stock price LSTM - 20N
model_20200222-095100.h5,,1.9112499999999983,2.1035820895522384,self stock price LSTM - 20N
model_20200222-095409.h5,,1.86,2.0967164179104505,self stock price LSTM - 20N
model_20200229-095413.h5,,2.295000000000001,2.0736296296296293,self stock price LSTM - 20N
model_20200229-211546.h5,,2.2,2.0802962962962948,self stock price LSTM - 20N
model_20200301-110405.h5,,2.26,2.156296296296295,self stock price LSTM - 20N
model_20200301-110751.h5,,2.3400000000000007,2.0322962962962974,self stock price LSTM - 20N
model_20200301-110921.h5,,2.265,2.0912592592592603,self stock price LSTM - 20N
model_20200307-164216.h5,,1.9150000000000005,2.0451470588235297,self stock price LSTM - 20N
model_20200307-170700.h5,,1.895,2.0663235294117674,self stock price LSTM - 20N
model_20200310-173032.h5,,2.0975000000000006,1.8958944281524928,self stock price LSTM - 20N
model_20200328-180923.h5,,2.5649999999999995,2.0074820143884877,self stock price LSTM - 20N
model_20200328-181518.h5,,2.53375,2.0178417266187068,self stock price LSTM - 20N
model_20200328-185130.h5,,2.3249999999999997,2.0670503597122303,self stock price LSTM - 20N
model_20200328-185355.h5,,1.3587500000000001,1.1131616595135927,self stock price LSTM - 20N
