Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_10,Close_below_SMA_10,SMA_20,Close_below_SMA_20,SMA_50,Close_below_SMA_50,SMA_100,Close_below_SMA_100,SMA_150,Close_below_SMA_150,^HSI_Close,title_sc,Actual_High_Next_20_P,Predicted_High_Next_20_P,MAE_P,Type
2018-04-25,62.604,62.931,62.23,62.557,3735526,0.0,0.0,63.64569999999988,1,63.269649999999935,1,62.91497999999998,1,64.41232000000001,1,63.02433333333337,1,30328.15,0.4767,5.8,-3.8,9.6,Train / Val
2018-04-26,62.23,62.884,62.137,62.23,4594083,0.0,0.0,63.48679999999988,1,63.23224999999993,1,62.92431999999998,1,64.38522,1,63.04720000000004,1,30007.68,,6.4,-3.9,10.3,Train / Val
2018-04-27,62.604,63.258,62.464,63.071,4739214,0.0,0.0,63.43069999999989,1,63.21824999999992,1,62.969159999999974,0,64.36186000000001,1,63.07170000000003,1,30280.67,,5.0,-6.6,11.6,Train / Val
2018-04-30,63.351,65.267,63.024,65.033,6636586,0.0,0.0,63.60819999999988,0,63.32569999999991,0,63.03643999999998,0,64.35485,0,63.106526666666696,0,30808.45,,1.8,-0.7,2.5,Train / Val
2018-05-02,63.538,63.959,62.978,63.959,9978491,0.0,0.0,63.58489999999988,0,63.393449999999916,0,63.09157999999998,0,64.34364000000001,1,63.138166666666706,0,30723.88,,3.5,-0.8,4.3,Train / Val
2018-05-03,63.351,63.912,62.697,62.978,3661356,0.0,0.0,63.45879999999987,1,63.426149999999915,1,63.12801999999998,1,64.31935,1,63.1672466666667,1,30313.37,0.0,5.3,-12.0,17.3,Train / Val
2018-05-04,62.417,63.118,62.417,62.604,4026771,0.0,0.0,63.23459999999987,1,63.48219999999992,1,63.17099999999998,1,64.29506,1,63.195060000000026,1,29926.5,,8.3,-6.0,14.3,Train / Val
2018-05-07,62.557,62.604,61.903,62.137,3019244,0.0,0.0,63.06179999999988,1,63.468199999999925,1,63.199039999999975,1,64.26843,1,63.22159333333337,1,29994.26,,10.2,-7.5,17.7,Train / Val
2018-05-08,61.856,62.417,61.856,62.183,4401702,0.0,0.0,62.97299999999988,1,63.393449999999916,1,63.21771999999998,1,64.24226,1,63.2533266666667,1,30402.81,,10.1,-7.4,17.5,Train / Val
2018-05-09,61.996,62.978,61.996,62.604,3804513,0.0,0.0,62.93559999999989,1,63.337399999999924,1,63.25509999999998,1,64.22264,1,63.28909333333337,1,30536.14,0.3612,10.2,-5.4,15.6,Train / Val
2018-05-10,62.277,62.744,62.277,62.557,4249156,0.0,0.0,62.93559999999989,1,63.29064999999993,1,63.28779999999997,1,64.19601,1,63.32056666666671,1,30809.22,0.0,10.8,-5.1,15.9,Train / Val
2018-05-11,63.071,63.632,62.744,63.211,4045151,0.0,0.0,63.03369999999988,0,63.26024999999993,1,63.29527999999996,1,64.17497999999999,1,63.357626666666704,1,31122.06,,9.7,3.3,6.3999999999999995,Train / Val
2018-05-14,63.118,64.286,63.118,64.146,3745990,0.0,0.0,63.14119999999988,0,63.28594999999992,0,63.31677999999997,0,64.14929,1,63.39786000000004,0,31541.08,,8.1,2.2,5.8999999999999995,Train / Val
2018-05-15,63.725,64.146,63.725,63.819,4323421,0.0,0.0,63.019799999999876,0,63.31399999999992,0,63.34295999999997,0,64.13481,1,63.434073333333366,0,31152.03,,8.6,3.5,5.1,Train / Val
2018-05-16,63.258,63.632,62.604,63.305,3440484,0.0,0.0,62.95439999999987,0,63.26964999999992,0,63.32613999999996,1,64.11846,1,63.4628866666667,1,31110.2,,9.5,0.8,8.7,Train / Val
